------------------------------------------------------------------------------
Spectrum  |                  Observed  |      Rel. |     Aki     | Acc. |Type|
          |                 Wavelength |      Int. |   (s^-1)    |      |    |
          |          Vac (µm)          |      (?)  |             |      |    |
------------------------------------------------------------------------------
Ar II     |              0.20039101    |        10 |             |      |    |
Ar II     |              0.20049162    |        17 |             |      |    |
Ar II     |              0.2007178     |         1 |             |      |    |
          |                            |           |             |      |    |
Ar II     |              0.2011141     |         1 |             |      |    |
Ar II     |              0.2014311     |         1 |             |      |    |
Ar II     |              0.20153171    |         6 |             |      |    |
Ar II     |              0.20187552    |         6 |             |      |    |
Ar II     |              0.202176      |       0.5 |             |      |    |
          |                            |           |             |      |    |
Ar II     |              0.202273      |         1 |             |      |    |
Ar II     |              0.20231164    |         9 |             |      |    |
Ar II     |              0.2024733     |         2 |             |      |    |
Ar II     |              0.20251844    |        10 |             |      |    |
Ar II     |              0.2026602     |         2 |             |      |    |
          |                            |           |             |      |    |
Ar II     |              0.2028558     |         1 |             |      |    |
Ar II     |              0.20321774    |         9 |             |      |    |
Ar II     |              0.20347624    |         6 |             |      |    |
Ar II     |              0.2035629     |       0.5 |             |      |    |
Ar II     |              0.20394919    |        26 |             |      |    |
          |                            |           |             |      |    |
Ar II     |              0.20423607    |        21 |             |      |    |
Ar II     |              0.2046155     |       0.5 |             |      |    |
Ar II     |              0.20464925    |        14 |             |      |    |
Ar II     |              0.20479994    |         5 |             |      |    |
Ar II     |              0.20503242    |         5 |             |      |    |
          |                            |           |             |      |    |
Ar II     |              0.20507924    |        83 |             |      |    |
Ar II     |              0.20575127    |        91 |             |      |    |
Ar II     |              0.20580835    |        22 |             |      |    |
Ar II     |              0.20591973    |         6 |             |      |    |
Ar II     |              0.2060079     |         1 |             |      |    |
          |                            |           |             |      |    |
Ar II     |              0.2060855     |       0.5 |             |      |    |
Ar II     |              0.20637647    |         8 |             |      |    |
Ar II     |              0.20642110    |       123 |             |      |    |
Ar II     |              0.20734254    |        43 |             |      |    |
Ar II     |              0.2074003     |         1 |             |      |    |
          |                            |           |             |      |    |
Ar II     |              0.20761840    |         7 |             |      |    |
Ar II     |              0.20796530    |        68 |             |      |    |
Ar II     |              0.20803555    |        89 |             |      |    |
Ar II     |              0.20821077    |        12 |             |      |    |
Ar II     |              0.2086816     |         2 |             |      |    |
          |                            |           |             |      |    |
Ar II     |              0.2087718     |         1 |             |      |    |
Ar II     |              0.20916231    |        89 |             |      |    |
Ar II     |              0.20916405    |        21 |             |      |    |
Ar II     |              0.20923334    |        21 |             |      |    |
Ar II     |              0.20927643    |        16 |             |      |    |
          |                            |           |             |      |    |
Ar II     |              0.2095976     |         1 |             |      |    |
Ar II     |              0.2096808     |         1 |             |      |    |
Ar II     |              0.20981285    |         6 |             |      |    |
Ar II     |              0.2098364     |       0.5 |             |      |    |
Ar II     |              0.20991369    |         5 |             |      |    |
          |                            |           |             |      |    |
Ar II     |              0.209991      |        0? |             |      |    |
Ar II     |              0.21014605    |         7 |             |      |    |
Ar II     |              0.21033517    |       112 |             |      |    |
Ar II     |              0.21048862    |        22 |             |      |    |
Ar II     |              0.21059351    |        25 |             |      |    |
          |                            |           |             |      |    |
Ar II     |              0.2106247     |         1 |             |      |    |
Ar II     |              0.2106537     |         1 |             |      |    |
Ar II     |              0.21080699    |         8 |             |      |    |
Ar II     |              0.21088763    |         3 |             |      |    |
Ar II     |              0.21090479    |        15 |             |      |    |
          |                            |           |             |      |    |
